created_at,date,time,timezone,username,name,place,tweet,language,mentions,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,retweet_id,reply_to
2020-12-09 00:59:02 UTC,2020-12-09,00:59:02,0,bibo_land,Bibo Land,,"@T_Bouhafs Quand les #naziodroitiste veulent appliquer la taqia, ils ont des amis noirs et rebeu",fr,,0,0,0,['naziodroitiste'],[],https://twitter.com/Bibo_Land/status/1336475407038734343,False,,,T_Bouhafs
2020-12-09 00:58:06 UTC,2020-12-09,00:58:06,0,drivebyme1996,Teigne,,@TF12050025 @T_Bouhafs Ptn t'es perspicace toi,fr,,0,0,1,[],[],https://twitter.com/Drivebyme1996/status/1336475174271655937,False,,,TF12050025|T_Bouhafs
2020-12-09 00:57:31 UTC,2020-12-09,00:57:31,0,bibo_land,Bibo Land,,@T_Bouhafs Les #naziodroitiste ne se trouvent pas que dans la police malheureusement,fr,,0,0,0,['naziodroitiste'],[],https://twitter.com/Bibo_Land/status/1336475027026358273,False,,,T_Bouhafs
2020-12-09 00:53:11 UTC,2020-12-09,00:53:11,0,sba74755902,Séba,,@AnneTessier7 @Mikapsg1546 @T_Bouhafs Car après tout ils ne font que faire tourner l’économie française pour pouvoir financer tous les parasites qui nous enfoncent un peu plus chaque jour avec leur haine de la France (qui les soignent et nourrissent tous) seul pays au monde,fr,,0,0,0,[],[],https://twitter.com/Sba74755902/status/1336473936847114241,False,,,AnneTessier7|Mikapsg1546|T_Bouhafs
2020-12-09 00:51:56 UTC,2020-12-09,00:51:56,0,drivebyme1996,Teigne,,@NajBilal @T_Bouhafs Mdr ben va en Chine par exemple ma grande tu met pas un orteil dans un taxi,fr,,0,0,0,[],[],https://twitter.com/Drivebyme1996/status/1336473621829726219,False,,,NajBilal|T_Bouhafs
2020-12-09 00:50:12 UTC,2020-12-09,00:50:12,0,sba74755902,Séba,,"@AnneTessier7 @Mikapsg1546 @T_Bouhafs Tu as raison, continuons à financer les clandestins et le Maghreb avec l’AME et les fraudes sociales (parce que sinon nous sommes racistes) et occupons nous des patrons du CAC 40 car ils gagnent trop d’argent et font de l’optimisation fiscale",fr,,1,0,0,[],[],https://twitter.com/Sba74755902/status/1336473183885651970,False,,,AnneTessier7|Mikapsg1546|T_Bouhafs
2020-12-09 00:49:18 UTC,2020-12-09,00:49:18,0,jeanrafal1,Jean Spartacus,,@Poulin2012 @T_Bouhafs @GaspardGlanz Les vieux-beau crooner c'est tellement has been qu'il ne sait plus où il habite.  &gt; &lt;,fr,,0,0,0,[],[],https://twitter.com/JeanRafal1/status/1336472957690974209,False,,,Poulin2012|T_Bouhafs|GaspardGlanz
2020-12-09 00:47:55 UTC,2020-12-09,00:47:55,0,drivebyme1996,Teigne,,@sisitahu @T_Bouhafs Culotté de généraliser sur une couleur pour dire qu'elle est raciste,fr,,0,0,0,[],[],https://twitter.com/Drivebyme1996/status/1336472611480612864,False,,,sisitahu|T_Bouhafs
2020-12-09 00:29:23 UTC,2020-12-09,00:29:23,0,cmartel18,C. MARTEL,,@JuyRaphael @T_Bouhafs @EricPiolle Et pourquoi ils fuyaient la police? Perso je m’arrête quand un policier ou gendarme me le signifie. Et ça c’est toujours très bien passé.,fr,,0,0,0,[],[],https://twitter.com/CMARTEL18/status/1336467946105933832,False,,,JuyRaphael|T_Bouhafs|EricPiolle
2020-12-09 00:10:24 UTC,2020-12-09,00:10:24,0,hendrikslamar,Hendriks HAIKOU,,@Julasset @T_Bouhafs 😂😂😂,und,,0,0,0,[],[],https://twitter.com/HendriksLamar/status/1336463169162801153,False,,,Julasset|T_Bouhafs
